,n_table,name,report,structureWithDailyNumbers,structureWithPopulation,values
47,2.0,Malaysia,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[22, 18, 2, 2, 0, 0]"
48,2.0,Viet Nam,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[16, 8, 0, 8, 0, 0]"
49,2.0,Philippines,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[3, 3, 0, 0, 0, 1]"
50,2.0,Cambodia,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[1, 1, 0, 0, 0, 0]"
51,2.0,South,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,[0]
52,2.0,Thailand,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[35, 23, 0, 6, 6, 0]"
53,2.0,India,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[3, 3, 0, 0, 0, 0]"
54,2.0,Nepal,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[1, 1, 0, 0, 0, 0]"
55,2.0,Sri Lanka,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[1, 1, 0, 0, 0, 0]"
56,2.0,States of America,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[35, 14, 18, 2, 1, 0]"
57,2.0,Canada,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[9, 7, 1, 1, 0, 0]"
58,2.0,Italy,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[124, 3, 0, 10, 111, 2]"
59,2.0,Germany,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[16, 2, 0, 14, 0, 0]"
60,2.0,France,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[12, 5, 0, 7, 0, 1]"
61,2.0,The United Kingdom,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[9, 2, 6, 1, 0, 0]"
62,2.0,Russian Federation,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[2, 2, 0, 0, 0, 0]"
63,2.0,Spain,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[2, 0, 2, 0, 0, 0]"
64,2.0,Belgium,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[1, 1, 0, 0, 0, 0]"
65,2.0,Finland,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[1, 1, 0, 0, 0, 0]"
66,2.0,Israel,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[1, 0, 1, 0, 0, 0]"
67,2.0,Sweden,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[1, 1, 0, 0, 0, 0]"
68,2.0,Iran (Islamic Republic of),Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[43, 0, 0, 28, 15, 8]"
69,2.0,United Arab Emirates,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[13, 6, 2, 5, 0, 0]"
70,2.0,Kuwait,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[3, 0]"
71,2.0,(0),Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[3, 0, 0, 0]"
72,2.0,Egypt,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[1, 0, 0, 1, 0, 0]"
73,2.0,Lebanon,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[1, 0, 1, 0, 0, 0]"
74,2.0,Subtotal for all regions,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[1374, 179, 52, 862, 281, 20]"
75,2.0,(Diamond Princess),Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[695, 0, 0, 0, 695, 3]"
76,2.0,otal,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[2069, 179, 52, 862, 976, 23]"
77,2.0,COVID,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[0, 19]"
78,2.0,COVID,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[0, 19]"
79,2.0,(n=,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,[293]
80,2.0,",",Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,[24]
81,2.0,February,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,[2020]
82,2.0,the,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,[2069]
83,2.0,"outside China,",Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,[84]
84,2.0,the remaining,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,[1985]
85,2.0,"cases, information on date of onset is available only for the",Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,[293]
86,2.0,COVID,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,"[0, 19]"
87,2.0,(n=,Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,[2069]
88,2.0,",",Situation report - 35Coronavirus disease 2019 (COVID-19) 24 February 2020,True,True,[24]
0,1.0,Table,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,[1]
1,1.0,COVID,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[0, 19]"
2,1.0,"in China,",Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[2, 3]"
3,1.0,Hubei,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[5917, 630, 631, 96, 64084, 2346]"
4,1.0,Guangdong,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[11346, 3, 0, 1, 1342, 6]"
5,1.0,Henan,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[9605, 1, 12, 0, 1271, 19]"
6,1.0,Zhejiang,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[5737, 0, 2, 0, 1205, 1]"
7,1.0,Hunan,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[6899, 3, 0, 0, 1016, 4]"
8,1.0,Anhui,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[6324, 0, 0, 0, 989, 6]"
9,1.0,Jiangxi,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[4648, 0, 0, 0, 934, 1]"
10,1.0,Shandong,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[10047, 4, 2, 0, 754, 4]"
11,1.0,Jiangsu,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[8051, 0, 0, 0, 631, 0]"
12,1.0,Chongqing,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[3102, 1, 21, 0, 573, 6]"
13,1.0,Sichuan,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[8341, 0, 15, 0, 526, 3]"
14,1.0,Heilongjiang,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[3773, 1, 0, 0, 480, 12]"
15,1.0,Beijing,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[2154, 0, 35, 0, 399, 4]"
16,1.0,Shanghai,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[2424, 1, 52, 0, 335, 3]"
17,1.0,Hebei,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[7556, 2, 0, 0, 311, 6]"
18,1.0,Fujian,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[3941, 0, 0, 0, 293, 1]"
19,1.0,Guangxi,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[4926, 0, 12, 0, 249, 2]"
20,1.0,Shaanxi,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[3864, 0, 2, 0, 245, 1]"
21,1.0,Yunnan,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[4830, 0, 11, 0, 174, 2]"
22,1.0,Hainan,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[934, 0, 14, 0, 168, 4]"
23,1.0,Guizhou,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[3600, 0, 0, 0, 146, 2]"
24,1.0,Tianjin,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[1560, 2, 51, 0, 135, 3]"
25,1.0,Shanxi,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[3718, 0, 1, 0, 132, 0]"
26,1.0,Liaoning,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[4359, 0, 13, 0, 121, 1]"
27,1.0,Jilin,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[2704, 0, 7, 0, 91, 1]"
28,1.0,Gansu,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[2637, 0, 0, 0, 91, 2]"
29,1.0,Xinjiang,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[2487, 0, 0, 0, 76, 2]"
30,1.0,Inner Mongolia,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[2534, 0, 0, 0, 75, 0]"
31,1.0,Ningxia,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[688, 0, 1, 0, 71, 0]"
32,1.0,Hong Kong SAR,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[745, 2, 0, 0, 70, 2]"
33,1.0,Taipei and environs,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[2359, 0, 0, 0, 26, 1]"
34,1.0,Qinghai,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[603, 0, 0, 0, 18, 0]"
35,1.0,Macao SAR,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[66, 0, 0, 0, 10, 0]"
36,1.0,Xizang,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[344, 0, 0, 0, 1, 0]"
37,1.0,Total,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[142823, 6, 50, 882, 97, 7704, 2, 2445]"
38,2.0,Table,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,[2]
39,2.0,laboratory,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,[0]
40,2.0,COVID,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[0, 19]"
41,2.0,. Data as of,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[2, 3]"
42,2.0,Republic of Korea,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[602, 13, 4, 353, 232, 5]"
43,2.0,Japan,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[132, 28, 5, 92]"
44,2.0,(24),Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[7, 1]"
45,2.0,Singapore,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[89, 24, 0, 58, 7, 0]"
46,2.0,Australia,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[22, 12, 7, 3, 0, 0]"
47,2.0,Malaysia,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[22, 17, 1, 2, 2, 0]"
48,2.0,Viet Nam,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[16, 8, 0, 8, 0, 0]"
49,2.0,Philippines,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[3, 3, 0, 0, 0, 1]"
50,2.0,Cambodia,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[1, 1, 0, 0, 0, 0]"
51,2.0,South,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,[0]
52,2.0,Thailand,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[35, 23, 0, 5, 7, 0]"
53,2.0,India,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[3, 3, 0, 0, 0, 0]"
54,2.0,Nepal,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[1, 1, 0, 0, 0, 0]"
55,2.0,Sri Lanka,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[1, 1, 0, 0, 0, 0]"
56,2.0,America,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[35, 14, 18, 2, 1, 0]"
57,2.0,Canada,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[9, 7, 1, 0, 1, 0]"
58,2.0,Italy,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[76, 3, 0, 9, 64, 2]"
59,2.0,Germany,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[16, 2, 0, 14, 0, 0]"
60,2.0,France,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,[12]
61,2.0,(0),Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[5, 0, 7, 0, 1]"
62,2.0,The United Kingdom,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[9, 2, 6, 1, 0, 0]"
63,2.0,Russian Federation,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[2, 2, 0, 0, 0, 0]"
64,2.0,Spain,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[2, 0, 2, 0, 0, 0]"
65,2.0,Belgium,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[1, 1, 0, 0, 0, 0]"
66,2.0,Finland,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[1, 1, 0]"
67,2.0,(0),Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[0, 0, 0]"
68,2.0,Israel,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[1, 0, 1, 0, 0, 0]"
69,2.0,Sweden,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[1, 1, 0, 0, 0, 0]"
70,2.0,Iran (Islamic Republic of),Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[28, 0, 0, 18, 10, 5]"
71,2.0,United Arab Emirates,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[13, 6, 2, 5, 0, 0]"
72,2.0,Egypt,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[1, 0, 0, 1, 0, 0]"
73,2.0,Lebanon,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[1, 0, 1, 0, 0, 0]"
74,2.0,Subtotal for all regions,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[1135, 178, 48, 578, 331, 15]"
75,2.0,Princess),Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[634, 0, 0, 0, 634]"
76,2.0,(0),Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,[2]
77,2.0,otal,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[1769, 178, 48, 578, 965]"
78,2.0,(268),Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,[17]
79,2.0,COVID,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[0, 19]"
80,2.0,COVID,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[0, 19]"
81,2.0,(n=,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,[284]
82,2.0,",",Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[2, 3]"
83,2.0,February,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,[2020]
84,2.0,Note for figure 2: Of the,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,[1769]
85,2.0,"cases reported outside China,",Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[3, 2]"
86,2.0,the remaining,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,[1737]
87,2.0,"cases, information on date of onset is available only for the",Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,[284]
88,2.0,COVID,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[0, 19]"
89,2.0,(n=,Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,[1769]
90,2.0,",",Situation report - 34Coronavirus disease 2019 (COVID-19) 23 February 2020,True,True,"[2, 3]"
0,1.0,Table,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,[1]
1,1.0,COVID,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[0, 19]"
2,1.0,"in China,",Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[2, 1]"
3,1.0,Hubei,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[5917, 631, 1279, 115, 62662, 2144]"
4,1.0,Guangdong,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[11346, 1, 1, 0, 1333, 5]"
5,1.0,Henan,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[9605, 2, 31, 0, 1267, 19]"
6,1.0,Zhejiang,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[5737, 28, 4, 1, 1203, 1]"
7,1.0,Hunan,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[6899, 1, 5, 0, 1011, 4]"
8,1.0,Anhui,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[6324, 1, 1, 0, 988, 6]"
9,1.0,Jiangxi,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[4648, 0, 0, 0, 934, 1]"
10,1.0,Shandong,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[10047, 202, 14, 0, 748, 4]"
11,1.0,Jiangsu,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[8051, 0, 1, 0, 631, 0]"
12,1.0,Chongqing,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[3102, 7, 28, 1, 567, 6]"
13,1.0,Sichuan,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[8341, 5, 15, 0, 525, 3]"
14,1.0,Heilongjiang,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[3773, 3, 1, 0, 479, 12]"
15,1.0,Beijing,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[2154, 1, 41, 0, 396, 4]"
16,1.0,Shanghai,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[2424, 1, 62, 0, 334, 2]"
17,1.0,Hebei,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[7556, 1, 0, 0, 308, 5]"
18,1.0,Fujian,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[3941, 0, 0, 0, 293, 1]"
19,1.0,Guangxi,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[4926, 1, 15, 0, 246, 2]"
20,1.0,Shaanxi,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[3864, 0, 8, 0, 245, 1]"
21,1.0,Yunnan,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[4830, 2, 21, 1, 174, 2]"
22,1.0,Hainan,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[934, 0, 16, 0, 168, 4]"
23,1.0,Guizhou,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[3600, 0, 3, 0, 146, 2]"
24,1.0,Shanxi,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[3718, 1, 5, 0, 132, 0]"
25,1.0,Tianjin,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[1560, 1, 37, 0, 131, 3]"
26,1.0,Liaoning,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[4359, 0, 20, 0, 121, 1]"
27,1.0,Jilin,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[2704, 0, 4, 0, 91, 1]"
28,1.0,Gansu,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[2637, 0, 1, 0, 91, 2]"
29,1.0,Xinjiang,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[2487, 0, 0, 0, 76, 1]"
30,1.0,Inner Mongolia,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[2534, 0, 0, 0, 75, 0]"
31,1.0,Ningxia,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[688, 0, 1, 0, 71, 0]"
32,1.0,Hong Kong SAR,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[745, 3, 0, 0, 68, 2]"
33,1.0,Taipei and environs,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[2359, 2, 0, 0, 2, 6, 1]"
34,1.0,Qinghai,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[603, 0, 0, 0, 18, 0]"
35,1.0,Macao SAR,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[66, 0, 0, 0, 10, 0]"
36,1.0,Xizang,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[344, 0, 0, 0, 1, 0]"
37,1.0,Total,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[142823, 894, 1614, 118, 75569, 2239]"
38,2.0,Table,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,[2]
39,2.0,laboratory,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,[0]
40,2.0,COVID,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[0, 19]"
41,2.0,. Data as of,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[2, 1]"
42,2.0,Republic of Korea,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[204, 13, 4, 158, 29, 1]"
43,2.0,Japan,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[93, 27, 5, 57, 4, 1]"
44,2.0,Singapore,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[85, 23, 0, 55, 7, 0]"
45,2.0,Malaysia,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[22, 17, 1, 2, 2, 0]"
46,2.0,Australia,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[17, 12, 2, 3, 0, 0]"
47,2.0,Viet Nam,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[16, 8, 0, 8, 0, 0]"
48,2.0,Philippines,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[3, 3, 0, 0, 0, 1]"
49,2.0,Cambodia,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[1, 1, 0, 0, 0, 0]"
50,2.0,South,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,[0]
51,2.0,Thailand,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[35, 23, 0, 5, 7, 0]"
52,2.0,India,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[3, 3, 0, 0, 0, 0]"
53,2.0,Nepal,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[1, 1, 0, 0, 0, 0]"
54,2.0,Sri Lanka,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[1, 1, 0, 0, 0, 0]"
55,2.0,America,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[15, 13, 0]"
56,2.0,(0),Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[2, 0, 0]"
57,2.0,Canada,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[8, 7, 0, 0, 1, 0]"
58,2.0,Germany,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[16, 2, 0, 14, 0, 0]"
59,2.0,France,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[12, 5, 0, 7, 0, 1]"
60,2.0,The United Kingdom,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[9, 2, 6, 1, 0, 0]"
61,2.0,Italy,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[3, 3, 0, 0, 0, 0]"
62,2.0,Russian Federation,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[2, 2, 0, 0, 0, 0]"
63,2.0,Spain,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[2, 0, 2, 0, 0, 0]"
64,2.0,Belgium,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[1, 1, 0, 0, 0, 0]"
65,2.0,Finland,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[1, 1, 0, 0, 0, 0]"
66,2.0,Sweden,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[1, 1, 0, 0, 0, 0]"
67,2.0,United Arab Emirates,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[9, 6, 0, 2, 1, 0]"
68,2.0,Iran (Islamic Republic of),Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[5, 0, 0, 5, 0, 2]"
69,2.0,Egypt,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[1, 0, 0, 1, 0, 0]"
70,2.0,for all regions,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[566, 175, 20, 320]"
71,2.0,(95),Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[51, 6]"
72,2.0,Princess),Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,"[634, 0, 0, 0, 634]"
73,2.0,(,Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,[13]
74,2.0,),Situation report - 32Coronavirus disease 2019 (COVID-19) 21 February 2020,True,True,[2]
